Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Smith Machine Upright Row,Shoulders,Traps,"Biceps , Back",Strength,Compound,Machine,Beginner,"The smith machine upright row exercise targets the shoulder muscles, mainly the deltoids and traps.
_x000D_
Steps :
_x000D_
1.) Start off by setting up the smith machine properly so that you are able to perform this exercise by locking the bar so that it is inline with the middle of your thighs.
_x000D_
2.) Stand in front of the bar with your feet shoulder-width apart, tightening your ab muscles and gripping the bar with an over hand grip.
_x000D_
3.) Slowly raise the bar up towards your chin, focusing on contracting your traps until the bar is just at around collar bone level.
_x000D_
4.) Hold this position for a count, squeezing your shoulder muscles and then return back to the starting position in a controlled manner.
_x000D_
Tips :  
_x000D_
1.) Make sure to keep your body and wrists straight.
_x000D_
2.) Do not use the force of the bounce back off of the stoppers to perform more reps, try to slow the bar down before the stoppers to perform clean and full reps.","['204', '205']",https://www.jefit.com/exercises/51/Smith-Machine-Upright-Row
T Bar Row,Back,Traps,Biceps,Strength,Compound,"Barbell , Machine - Strength",Intermediate,"The T-Bar Row exercise is good for helping build strength and the major muscles of your back.
_x000D_
Steps : 
_x000D_
1.) Start off by placing your feet at each side of the T-Bar Machine, keeping your knees slightly bent, abs tight and grabbing the handles of the machine with a narrow grip.
_x000D_
2.) Slowly bend at your waist so that your torso is almost parallel with the floor as this will be your starting position.
_x000D_
3.) From this position, pull the bar up towards your chest in a slow and controlled manner and continue for as high as you are able to.
_x000D_
4.) Once you reach the top position, hold for a count, squeezing your back muscles and return back to the starting position.
_x000D_
Tips : 
_x000D_
1.) While performing this exercise keep your elbows close to your body.","['208', '209']",https://www.jefit.com/exercises/52/T-Bar-Row
Band Back Fly,Chest,Outer Chest,"Shoulders , Triceps",Strength,Compound,Barbell,Intermediate,"The one arm floor press exercise is a good exercise to build strength and coordination needed for weight training and is best done with a partner.
_x000D_
Steps :
_x000D_
1.) Start off by lying flat on your back with your knees slightly bent and keeping your feet planted firmly on the floor.
_x000D_
2.) Next have your partner stand above you and hand you the bar so that you are holding it in one hand.
_x000D_
3.) Slowly lower the barbell towards the floor so that your bicep is parallel to the floor and hold for a count.
_x000D_
4.) Return back up to the starting position and repeat for as many reps and sets as desired.
_x000D_
5.) Switch arms and repeat.","['668', '669']",https://www.jefit.com/exercises/53/Band-Back-Fly
Dumbbell Lying Triceps Extension ,Biceps,,,Strength,Isolation,Dumbbell,Beginner,"The alternate hammer curl exercise uses a hammering (up and down) motion to isolate the biceps and to build bigger arms.
_x000D_
Steps :
_x000D_
1.) Start off standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs drawn in tightly.
_x000D_
2.) Grab a dumbbell in each hand with your palms facing inward and extend your arms out at the sides of your body.
_x000D_
3.) While keeping your elbows locked in at your sides, slowly lift your left arm in an arc motion towards your left shoulder, isolating the bicep and squeeze the muscle.
_x000D_
4.) Hold for a count and return back to the starting position.
_x000D_
5.) Repeat the same steps with your right arm for as many reps and sets as desired.
_x000D_
Tips :
_x000D_
1.) Refrain from turning your wrists during this exercise.","['456', '457']",https://www.jefit.com/exercises/54/Dumbbell-Lying-Triceps-Extension-
Barbell Lying Triceps Extension ,Cardio,,,Cardio,Isolation,Others,Beginner,"Aerobic Exercise focuses upon cardiovascular fitness, muscle strength and endurance by performing aerobic workouts.",['1232'],https://www.jefit.com/exercises/55/Barbell-Lying-Triceps-Extension-
Ab Crunch Machine - Back,Back,Upper Back,,Stretching,Compound,Exercise,Beginner,"The back extension on a stability ball exercise helps provide flexibility to strengthen the back and core muscles.
_x000D_
Steps :

_x000D_
1.) Start off lying prone on a stability ball with your toes planted firmly on the floor to help provide balance on the ball.
_x000D_
2.) With your hands across your chest or at your ears, raise your chest off the ball so you are hyper-extending your spine.
_x000D_
3.) Slowly return your chest to the ball.
_x000D_
4.) Repeat for as many reps and sets as desired.","['768', '769']",https://www.jefit.com/exercises/56/Ab-Crunch-Machine
Air Bike - Back,Back,Traps,Biceps,Strength,Compound,Barbell,Beginner,"Steps :
_x000D_
1.) To begin this exercise, stand in front of a barbell with your feet shoulder-width apart and bend over until your back is parallel with the floor.
_x000D_
2.) Grab the bar with a shoulder width grip then lift the bar up off of the ground and this will be your starting position.
_x000D_
3.) Take the bar and raise it up towards you chest using a controlled motion and continue until the bar is almost touching your lower chest.
_x000D_
4.) Hold this position for a few seconds, squeezing your back muscles and then lower the bar back to the starting position.
_x000D_
Tips :
_x000D_
1.) While performing this exercise keep your head up and your back straight.","['12', '13']",https://www.jefit.com/exercises/57/Air-Bike
Alternate Heel Touchers - Back,Back,Upper Back,"Lower Legs , Upper Legs",Strength,Compound,Barbell,Intermediate,"The barbell deadlift is a classic bodybuilding exercise meant for putting on mass and building strength overall throughout the entire body.
_x000D_
Steps : 
_x000D_
1.) Start off standing in front of a barbell with your feet shoulder-width apart.  
_x000D_
2.) Pick up the barbell while keeping your arms extended straight down.  
_x000D_
3.) Stand up straight with the barbell in your hands, and refrain from moving your arms.  
_x000D_
4.) Bend back down at the knees with barbell.  
_x000D_
5.) Repeat for the desired amount of reps.","['372', '373']",https://www.jefit.com/exercises/58/Alternate-Heel-Touchers
Hanging Pike,Abs,Lower Abs,,Strength,Compound,Pullup,Expert,"Steps : 
_x000D_
1.) Start by grabbing onto a pull up bar.
_x000D_
2.) Bring your knees to your chest.
_x000D_
3.) Do a crunch and bring your legs up above your head.  
_x000D_
4.) Repeat for the desired amount of reps.","['236', '237']",https://www.jefit.com/exercises/59/Hanging-Pike
Exercise Ball Crunch,Abs,Lower Abs,,Strength,Isolation,Exercise,Beginner,"The exercise ball crunch uses a stability ball in this exercise to give you a better range of movement.
_x000D_
Steps :
_x000D_
1.) Start off sitting on the top of an exercise or stability ball with your feet place firmly in front of you for support and position yourself so that your lower back is centered in the middle of the ball..
_x000D_
2.) Slowly lie back and bring your hands across your chest or to either side of your head.
_x000D_
3.) Then raise your upper body in an upward crunching motion, squeezing your abs as you sit upright.
_x000D_
4.) Hold this position for a count, squeezing your abs and then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) To attain the best results, use a full range of motion in this exercise.","['240', '241']",https://www.jefit.com/exercises/60/Exercise-Ball-Crunch
Hanging Leg Raise,Abs,Lower Abs,,Strength,Isolation,Pullup,Expert,"Steps : 
_x000D_
1.) Grab onto a pull up bar.
_x000D_
2.) Hang from the pull up bar.  
_x000D_
3.) Bring your knees to your chest.  
_x000D_
4.) Lower your knees back down to where you are hanging.
_x000D_
5.) Repeat for the desired amount of reps.","['244', '245']",https://www.jefit.com/exercises/61/Hanging-Leg-Raise
Exercise Ball Pull In,Abs,Lower Abs,,Strength,Isolation,Exercise,Intermediate,"The exercise ball pull-in uses a stability or exercise ball to isolate and work the lower ab muscles.
_x000D_
Steps : 
_x000D_
1.) Start off lying down as if you were performing a pushup and place your feet and shins over either an exercise or stability ball.
_x000D_
2.) Make sure that you keep your back straight and supporting your weight with your hands, then slowly pull your knees towards your chest in a controlled manner so that the ball rolls forward under your ankles.
_x000D_
3.) Crunch and squeeze your abdominal muscles, hold for a count, then roll the ball back into the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['248', '249']",https://www.jefit.com/exercises/62/Exercise-Ball-Pull-In
Jackknife Sit up,Abs,Lower Abs,,Strength,Isolation,Body,Beginner,"Steps : 
_x000D_
1.) Start by lying on your back with your arms by your side.  
_x000D_
2.) Do a sit up while at the same time bringing your legs also to your chest.
_x000D_
3.) Try to keep your hands towards the ground.
_x000D_
4.) Extend your self flat on the ground.
_x000D_
5.) Repeat for the desired amount of reps.","['252', '253']",https://www.jefit.com/exercises/63/Jackknife-Sit-up
Oblique Crunches,Abs,Obliques,,Strength,Isolation,Body,Beginner,"Steps : 
_x000D_
1.) Lie on your back and cross the left foot over the right knee, hands behind your head.
_x000D_
2.) Keeping lower back pressed into the floor, lift your shoulder off the floor and then curl your upper body diagonally across your body towards your left knee. 
_x000D_
3.) Repeat with the other shoulder going to your right knee.  
_x000D_
4.) Repeat for the desired amount of reps.","['256', '257']",https://www.jefit.com/exercises/64/Oblique-Crunches
Decline Reverse Crunch,Shoulders,Lats,Back,Strength,Compound,Machine,Intermediate,"Steps :
_x000D_
1.) Start off facing a high pulley cable machine with either a rope or dual handles connected to the machine.
_x000D_
2.) Grab onto the handles and pull the weight directly towards your face, using your shoulders, and separating your shoulders as you pull the weights back.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3496', '3497']",https://www.jefit.com/exercises/65/Decline-Reverse-Crunch
Barbell Ab Rollout,Glutes,Hamstrings,"Lower Legs , Upper Legs",Strength,Compound,Machine,Beginner,"Steps :
_x000D_
1.) To begin this exercise; start off standing only a few feet from the cable machine holding the rope in between your legs just underneath your glutes.
_x000D_
2.) Then take the rope, keeping your knees slightly bent, pull the rope through with only the use of your hips. 
_x000D_
3.) Refrain from using your shoulders or arms to pull.
_x000D_
4.) Repeat this exercise for as many repetitions as needed.","['1572', '1573']",https://www.jefit.com/exercises/66/Barbell-Ab-Rollout
Barbell Press Sit Up,Shoulders,,,Stretching,Isolation,Body,Beginner,Targeted Muscle Group,"['3468', '3469', '3470']",https://www.jefit.com/exercises/67/Barbell-Press-Sit-Up
Flat Bench Leg Pull In,Abs,Lower Abs,,Strength,Compound,Bench,Beginner,"Steps : 
_x000D_
1.) Begin by lying flat on a bench.  
_x000D_
2.) Bring your knees up to your chest while keeping your legs together. 
_x000D_
3.) Extend your legs back down on the bench.
_x000D_
4.) Repeat for the desired amount of reps.","['272', '273']",https://www.jefit.com/exercises/68/Flat-Bench-Leg-Pull-In
Frog Sit Ups,Abs,Lower Abs,,Strength,Isolation,Body,Intermediate,"Steps : 
_x000D_
1.) Begin in a sit-up position on a floor or mat.  
_x000D_
2.) Have your legs spread out but connected with the soles touching each other.  
_x000D_
3.) Cross your hands on your chest.
_x000D_
4.) Do a crunch while keeping your feet together.
_x000D_
5.) Repeat for the desired amount of reps.","['276', '277']",https://www.jefit.com/exercises/69/Frog-Sit-Ups
